global;global.menu.entities.jhipster-needle-menu-add-entry;JHipster will add additional entities here (do not translate!)
global;entity.action.back;Geri
global;global.menu.jhipster-needle-menu-add-element;JHipster will add additional menu entries here (do not translate!)
global;global.menu.entities.myCompany;Firmam
global;entity.validation.pattern;Bu alan {{pattern}} þablonuna uymuyor.
global;global.menu.entities.companyProductPrice;Ürün Fiyatlarý
global;global.messages.validate.email.invalid;E-posta alaný uygun deðil.
global;entity.action.cancel;Ýptal
global;dateFilter.last7Days;Son 7 Gün
global;entity.validation.number;Bu alan numara içermeli.
global;global.messages.validate.email.maxlength;E-posta adresi 50 karakterden fazla olamaz
global;global.menu.admin.database;Veritabaný
global;dateFilter.last15Days;Son 15 Gün
global;footer;Burasý sayfa alt bilgisi
global;global.title;KuryeApp
global;global.menu.entities.companyType;Firma Türleri
global;global.menu.admin.audits;Denetim
global;global.menu.entities.companyPacket;Hizmet Paketleri
global;global.menu.entities.regionGroup;Gruplar
global;global.browsehappy;<strong>Çok eski</strong> bir tarayýcý kullanýyorsunuz. Lütfen kullaným kalitenizi arttýrmak için <a href="http://browsehappy.com/?locale=tr">tarayýcýnýzý yükseltin</a>.
global;global.menu.entities.company;Firmalar
global;entity.validation.minbytes;Bu alanan en az {{min}} byte olmalý.
global;error.idexists;A new {{entityName}} cannot already have an ID
global;dateFilter.last30Days;Son 1 Ay
global;global.menu.admin.entity-audit;Entity Audit
global;error.internalServerError;Beklenmedik bir hata oluþtu, Sistem yöneticisine baþvurunuz
global;global.menu.account.password;Þifre
global;global.messages.info.authenticated.link;Giriþ
global;entity.action.open;Aç
global;global.form.newpassword.label;Yeni Þifre
global;global.menu.admin.apidocs;API
global;global.form.confirmpassword.placeholder;Yeni Þifreniz Tekrar
global;global.messages.validate.newpassword.strength;Þifre karmaþýklýðý:
global;global.menu.entities.additionalService;Ek Hizmetler
global;global.messages.error.dontmatch;Þifreler eþleþmedi!
global;global.messages.info.register.link;Yeni hesap oluþtur
global;global.menu.admin.metrics;Ölçümler
global;entity.validation.maxlength;Bu alan en fazla {{max}} karakterden oluþabilir.
global;entity.action.addblob;Add blob
global;global.messages.validate.newpassword.maxlength;Þifreniz 50 karakterden uzun olamaz
global;error.server.not.reachable;Sunucuya ulaþýlamýyor
global;global.messages.validate.confirmpassword.required;Tekrar þifresi zorunludur.
login;login.password.forgot;Þifreni mi unuttun?
login;login.form.rememberme;Beni Hatýrla
login;login.form.password;Þifre
login;login.form.button;Giriþ
login;login.messages.error.authentication;<strong>Giriþ iþlemi baþarýsýz oldu!</strong> Lütfen kullanýcý bilgilerinizi kontrol edip tekrar deneyin.
login;login.form.username.emptyError;Kullanýcý Adý Boþ Olamaz!
login;login.form.password.emptyError;Þifre Boþ Olamaz!
login;login.title;Giriþ
login;login.form.password.placeholder;Þifre
